guide_id,tag_id
613,1
613,2
613,3
613,4
645,5
646,5
669,7
780,8
786,9
787,10
811,7
828,5
1004,7
1071,7
1125,7
1141,7
1155,17
1215,7
1228,19
1230,19
1232,19
1234,7
1242,23
1242,24
1246,7
1258,7
1303,7
1318,28
1324,29
1334,7
1337,7
1375,7
1406,33
1406,34
1407,33
1407,34
1466,7
1489,7
1498,7
1524,7
1554,41
1554,42
1554,43
1554,44
1554,45
1577,7
1578,47
1593,7
1602,7
1603,7
1604,7
1627,7
1636,7
1637,7
1647,7
1650,7
1658,7
1668,7
1671,7
1682,7
1699,7
1702,7
1706,7
1710,7
1723,7
1725,7
1727,7
1729,7
1730,69
1735,7
1736,7
1756,69
1757,7
1762,7
1764,7
1765,7
1767,7
1769,7
1770,7
1773,7
1775,7
1785,7
1786,7
1790,7
1792,24
1792,86
1800,7
1813,7
1821,7
1822,7
1823,7
1833,7
1835,7
1843,7
1844,7
1848,96
1848,97
1848,98
1867,99
1867,100
1875,7
1884,102
1908,7
1909,7
1910,7
1946,106
1951,5
1960,108
1960,109
1960,110
1960,111
1963,7
1970,7
1990,114
1990,115
1990,116
1990,117
1990,118
1990,119
1990,120
1990,121
1990,122
1990,123
1990,124
1990,125
1995,7
2011,7
2025,7
2028,129
2028,23
2028,131
2028,132
2028,7
2041,7
2055,7
2063,7
2070,7
2072,7
2076,7
2081,7
2085,7
2085,142
2092,7
2098,7
2102,7
2104,7
2105,7
2106,7
2107,7
2119,7
2123,102
2126,7
2130,7
2133,7
2138,7
2149,129
2149,132
2149,158
2151,129
2151,131
2151,132
2151,162
2170,7
2182,164
2187,164
2191,166
2191,164
2193,7
2194,7
2195,7
2195,171
2206,7
2211,7
2216,7
2217,7
2219,7
2233,7
2234,7
2237,7
2238,7
2240,7
2242,7
2244,7
2251,7
2254,7
2260,7
2262,7
2270,7
2275,189
2275,190
2278,7
2296,7
2301,7
2304,7
2326,7
2337,7
2338,7
2346,7
2349,199
2349,96
2349,7
2349,202
2353,7
2355,7
2382,7
2384,7
2385,7
2388,7
2399,7
2412,7
2419,211
2419,212
2419,213
2419,214
2419,215
2419,216
2419,217
2419,218
2421,7
2423,7
2424,7
2426,7
2427,223
2427,224
2427,225
2427,1
2427,2
2433,228
2437,129
2437,131
2437,132
2437,232
2437,233
2464,7
2469,7
2470,212
2470,237
2470,238
2475,7
2476,7
2477,7
2480,7
2484,243
2484,244
2485,7
2487,7
2494,7
2498,7
2510,23
2510,7
2510,4
2510,252
2516,129
2516,131
2516,132
2516,256
2517,129
2517,131
2517,259
2517,237
2519,7
2526,262
2526,263
2530,7
2551,265
2551,266
2551,267
2551,268
2551,269
2551,270
2551,99
2551,272
2551,273
2554,7
2569,7
2571,276
2571,277
2572,7
2576,279
2576,262
2576,281
2577,279
2577,281
2577,284
2578,279
2578,162
2578,281
2579,288
2579,279
2579,281
2580,291
2580,279
2580,281
2581,279
2581,281
2581,296
2582,279
2582,298
2582,281
2583,279
2583,301
2583,281
2584,279
2584,304
2584,281
2585,279
2585,307
2585,281
2586,166
2586,279
2586,281
2587,312
2587,279
2587,281
2588,129
2588,131
2588,132
2588,304
2589,129
2589,132
2589,298
2590,224
2590,323
2590,324
2590,325
2590,326
2592,327
2592,262
2592,7
2592,330
2615,7
2621,7
2639,333
2639,334
2639,335
2639,336
2639,337
2644,7
2652,2
2652,340
2652,341
2652,281
2656,7
2664,164
2665,164
2698,7
2718,347
2718,162
2718,349
2718,350
2720,7
2726,352
2726,353
2726,354
2726,355
2726,356
2726,357
2738,7
2748,359
2748,360
2748,361
2748,362
2749,7
2761,364
2762,364
2769,366
2773,7
2778,368
2778,369
2778,370
2778,371
2778,372
2815,223
2815,225
2815,375
2817,223
2817,225
2817,166
2833,379
2833,330
2833,381
2855,382
2866,7
2881,7
2892,7
2903,7
2912,7
2922,388
2922,389
2927,7
2931,7
2950,7
2954,7
3000,7
3008,7
3029,7
3032,7
3039,5
3068,7
3114,5
3119,7
3126,7
3127,7
3132,7
3138,7
3144,7
3148,7
3155,7
3156,7
3157,7
3158,7
3170,7
3172,7
3174,7
3184,7
3185,5
3191,417
3191,418
3191,419
3191,420
3191,421
3211,7
3212,7
3227,7
3228,7
3230,7
3232,7
3233,19
3234,23
3234,417
3234,418
3234,419
3234,420
3236,7
3244,7
3245,7
3246,7
3248,7
3249,7
3261,7
3271,417
3271,418
3271,243
3271,419
3271,420
3276,19
3276,447
3276,448
3283,19
3283,7
3286,19
3293,19
3301,453
3301,454
3301,336
3301,456
3301,256
3303,456
3303,262
3303,460
3309,7
3319,7
3320,7
3327,7
3340,7
3341,7
3349,7
3359,7
3360,7
3364,7
3365,7
3369,7
3371,7
3373,7
3379,7
3384,7
3405,7
3407,7
3410,375
3410,131
3410,481
3410,7
3410,483
3410,484
3412,131
3412,166
3412,481
3412,483
3412,484
3413,131
3413,481
3413,301
3413,483
3415,131
3415,481
3415,7
3415,483
3415,162
3416,312
3416,131
3416,481
3416,7
3416,483
3416,504
3417,505
3417,131
3417,507
3417,481
3417,7
3417,256
3417,483
3417,512
3418,131
3418,481
3418,1
3418,2
3418,483
3419,131
3419,481
3419,483
3419,214
3419,215
3428,7
3430,7
3432,19
3450,7
3454,7
3460,7
3461,19
3471,7
3476,7
3479,7
3483,7
3494,7
3509,7
3512,7
3531,7
3553,538
3555,538
3572,7
3572,541
3572,538
3607,7
3609,7
3625,545
3625,131
3625,481
3625,301
3625,483
3625,381
3643,364
3655,552
3655,553
3655,538
3655,555
3656,538
3656,557
3657,558
3657,538
3658,538
3659,7
3659,538
3663,5
3684,5
3685,7
3697,7
3720,5
3729,568
3729,569
3745,7
3758,571
3758,572
3758,573
3758,574
3758,575
3758,576
3758,577
3759,7
3760,7
3762,7
3764,7
3774,7
3778,7
3780,7
3781,7
3784,7
3787,7
3793,7
3807,7
3812,590
3812,7
3813,19
3830,7
3840,7
3841,7
3846,7
3850,7
3859,5
3862,7
3891,7
3906,7
3961,7
3962,23
3962,604
3962,605
3962,4
3962,607
3967,7
3976,19
3980,7
3985,7
3992,7
4025,19
4026,7
4028,7
4033,616
4033,617
4033,618
4035,7
4042,19
4044,19
4049,7
4062,19
4068,616
4068,625
4068,626
4068,618
4070,616
4070,625
4070,618
4070,631
4072,616
4072,633
4072,618
4076,5
4080,7
4083,7
4085,5
4096,5
4097,5
4102,7
4114,23
4114,643
4114,644
4120,7
4125,7
4143,5
4158,648
4176,649
4176,650
4176,651
4176,652
4176,7
4176,654
4176,655
4181,656
4181,657
4181,658
4181,659
4181,660
4192,661
4192,651
4192,663
4192,664
4197,7
4199,7
4217,224
4217,668
4225,7
4230,7
4241,7
4255,7
4258,7
4270,224
4270,675
4270,676
4270,1
4270,678
4270,679
4272,7
4281,681
4281,7
4281,683
4281,684
4281,685
4282,7
4285,7
4299,7
4305,7
4316,7
4324,7
4329,692
4329,693
4329,7
4330,695
4330,696
4336,697
4341,7
4355,7
4357,7
4363,7
4369,7
4372,7
4375,7
4398,7
4405,7
4406,7
4420,7
4423,7
4432,7
4446,7
4447,7
4448,7
4473,7
4477,715
4477,716
4477,717
4477,718
4477,719
4477,720
4477,721
4491,7
4493,7
4507,7
4517,7
4537,7
4544,727
4544,728
4544,4
4550,7
4558,731
4558,732
4558,733
4564,7
4572,735
4572,736
4572,737
4572,618
4573,735
4573,736
4573,737
4573,7
4573,618
4575,735
4575,736
4575,737
4575,618
4576,7
4580,749
4580,750
4580,212
4580,214
4580,215
4583,7
4586,7
4593,7
4603,7
4607,7
4612,759
4612,760
4612,761
4612,762
4612,763
4626,735
4626,736
4626,737
4626,618
4627,735
4627,736
4627,737
4627,618
4628,7
4629,23
4629,774
4629,775
4629,776
4630,23
4630,774
4630,775
4630,776
4631,781
4631,775
4631,783
4631,776
4632,785
4632,364
4633,787
4633,788
4633,774
4633,775
4633,791
4633,776
4640,735
4640,736
4640,737
4640,618
4644,7
4651,661
4651,799
4651,663
4651,576
4652,802
4652,211
4652,804
4652,805
4652,806
4652,237
4652,808
4653,809
4653,804
4653,806
4653,812
4783,364
4785,5
4786,815
4786,816
4786,817
4786,818
4786,819
4786,820
4786,821
4786,822
4788,5
4790,824
4815,23
4815,826
4815,827
4815,828
4816,7
4824,7
4880,831
4880,832
4880,833
4880,834
4884,7
4897,382
4905,837
4905,838
4905,839
4928,7
4935,5
4938,842
4938,843
4938,844
4938,845
4939,224
4939,847
4939,848
4939,849
4939,850
4939,851
4939,852
4952,853
4952,854
4952,855
4952,856
4952,857
4956,858
4975,859
4975,860
4975,861
4975,862
4983,7
4988,5
4992,7
4993,7
4998,7
5008,7
5009,7
5011,7
5013,7
5028,7
5033,7
5034,7
5037,875
5041,7
5052,7
5056,333
5056,879
5056,880
5056,881
5056,882
5056,883
5056,884
5057,879
5057,886
5057,882
5057,888
5057,123
5057,890
5058,879
5058,882
5058,893
5058,214
5058,895
5059,7
5060,879
5060,898
5060,899
5060,805
5060,886
5077,902
5077,903
5077,788
5077,905
5077,906
5077,907
5077,908
5077,909
5077,910
5077,911
5081,7
5090,7
5102,7
5110,7
5157,916
5157,917
5157,918
5157,919
5157,920
5164,7
5165,7
5183,7
5188,7
5197,7
5201,7
5214,7
5217,7
5219,7
5222,930
5222,931
5222,932
5222,933
5233,7
5251,7
5252,7
5253,7
5271,7
5277,5
5281,940
5282,940
5283,940
5284,940
5285,940
5286,940
5293,7
5300,7
5308,7
5309,7
5310,7
5312,7
5313,7
5314,5
5320,7
5322,364
5323,364
5328,5
5330,7
5345,5
5359,7
5361,7
5362,7
5377,7
5380,7
5393,7
5395,7
5396,7
5402,968
5402,969
5402,970
5402,971
5402,972
5402,973
5402,974
5424,7
5425,7
5426,7
5432,7
5433,7
5470,7
5471,981
5471,982
5471,919
5475,802
5475,985
5475,211
5475,987
5475,988
5475,212
5477,7
5490,991
5490,131
5490,132
5490,232
5498,995
5547,996
5550,996
5550,998
5559,7
5583,7
5587,1001
5587,364
5589,7
5593,576
5593,1005
5599,7
5610,1007
5612,7
5615,5
5616,7
5632,7
5634,7
5647,7
5687,7
5692,7
5698,7
5699,7
5721,1018
5721,7
5729,7
5737,7
5742,7
5784,7
5807,7
5834,1025
5834,1026
5834,1027
5835,5
5837,7
5838,991
5838,1031
5838,1032
5838,131
5838,1034
5838,1035
5838,1036
5844,7
5847,1038
5847,1039
5847,1040
5847,1041
5858,736
5858,1043
5858,1044
5858,381
5858,1046
5859,7
5861,7
5862,1049
5862,7
5863,7
5872,7
5873,7
5874,7
5875,7
5883,7
5885,7
5887,7
5888,7
5889,7
5899,7
5915,7
5920,7
5927,7
5933,1065
5933,1066
5933,1067
5943,7
5977,1069
5977,1070
5977,1071
5977,1072
5977,1073
5977,1074
5986,1075
5986,1076
5986,1077
5986,381
5990,7
5999,7
6011,7
6014,19
6014,7
6016,7
6028,7
6046,7
6050,7
6058,7
6061,7
6069,1090
6069,7
6071,7
6090,1093
6090,23
6090,131
6090,132
6090,7
6098,19
6099,7
6104,19
6113,19
6121,7
6122,1103
6122,1104
6122,1105
6124,7
6125,716
6125,7
6125,330
6125,1110
6127,7
6141,7
6144,23
6144,1114
6144,1115
6144,1116
6144,7
6151,7
6155,7
6156,7
6157,7
6163,7
6166,7
6172,1124
6184,7
6185,7
6197,7
6198,7
6199,7
6202,7
6209,7
6210,7
6211,7
6218,7
6231,7
6232,7
6239,7
6240,7
6251,7
6252,7
6261,7
6268,7
6270,1143
6270,1144
6270,1043
6270,7
6270,381
6270,576
6270,1149
6271,7
6276,7
6277,7
6283,1153
6283,23
6283,7
6283,1156
6283,1157
6284,334
6284,1159
6287,1160
6287,1161
6287,1162
6287,1163
6287,1164
6287,1165
6287,325
6287,1167
6287,1168
6287,1169
6287,1170
6303,19
6305,7
6308,7
6314,1153
6314,1175
6314,1156
6314,1157
6330,1178
6330,1179
6330,1114
6330,1181
6330,1115
6330,96
6333,1179
6333,1114
6333,1181
6333,1115
6333,96
6335,1179
6335,1181
6335,301
6335,96
6339,1193
6339,1194
6339,1195
6339,1196
6339,1197
6339,1198
6343,5
6346,7
6351,7
6356,1202
6356,1203
6356,1204
6356,1205
6356,1206
6356,1207
6356,1208
6356,1209
6356,1210
6356,1211
6359,5
6362,1213
6366,5
6367,5
6368,325
6368,1217
6368,1218
6369,1219
6369,1220
6369,1221
6369,1222
6373,5
6376,7
6395,7
6397,7
6398,5
6399,7
6402,1229
6402,1230
6402,1231
6402,1232
6403,1233
6403,1234
6403,1235
6403,1149
6439,1237
6439,1238
6439,1239
6439,1240
6439,1241
6439,1242
6439,1243
6439,1244
6439,281
6439,1246
6439,1247
6439,1248
6455,7
6456,7
6463,7
6490,7
6515,7
6521,7
6522,7
6528,5
6545,7
6554,33
6554,1259
6554,1260
6554,325
6554,1262
6558,7
6563,1264
6563,1265
6563,1266
6563,1267
6563,1268
6571,1269
6571,162
6603,5
6604,7
6609,1273
6609,1274
6609,1275
6612,5
6613,7
6616,1278
6616,1279
6616,1280
6621,364
6634,7
6643,1283
6643,1284
6643,1241
6643,1286
6643,86
6679,7
6682,7
6703,1290
6703,1291
6703,1292
6703,1293
6703,1294
6705,7
6707,7
6708,7
6709,7
6712,7
6713,7
6714,19
6718,19
6735,7
6740,1304
6740,838
6740,1306
6740,1307
6740,1308
6740,1309
6740,1310
6740,812
6740,1312
6740,1313
6740,1314
6749,7
6754,7
6764,1317
6764,1318
6764,1319
6764,237
6764,1321
6764,4
6764,1323
6765,1324
6786,7
6788,7
6789,7
6790,7
6792,1329
6792,131
6792,1331
6792,132
6792,1284
6796,19
6797,7
6800,7
6803,7
6813,7
6824,7
6854,7
6855,7
6861,7
6862,7
6870,7
6890,7
6898,7
6899,7
6915,7
6916,1001
6916,1350
6922,7
6923,7
6932,7
6944,7
6945,7
6956,19
6957,5
6967,7
6968,7
6973,19
6986,7
6989,7
6989,1363
6989,1364
6991,1365
6994,5
6996,7
6997,19
7001,19
7008,7
7011,19
7014,7
7016,7
7017,7
7018,7
7023,19
7025,19
7028,7
7029,7
7045,7
7047,7
7052,1382
7052,224
7052,1384
7052,1385
7052,1386
7052,1387
7052,842
7052,1389
7052,1390
7053,7
7055,7
7057,7
7063,1394
7063,1395
7063,262
7067,5
7071,7
7077,7
7078,7
7082,7
7082,1363
7082,1364
7083,7
7083,1363
7083,1364
7084,7
7084,1363
7084,1364
7086,7
7086,1363
7086,1364
7087,7
7088,7
7090,19
7095,7
7096,5
7097,7
7098,7
7100,7
7102,7
7104,7
7105,7
7106,7
7107,7
7128,7
7147,7
7153,19
7161,7
7162,7
7163,7
7172,7
7208,7
7220,7
7226,1435
7226,1363
7227,1363
7227,1364
7234,7
7236,7
7254,7
7258,7
7260,7
7275,5
7277,1445
7277,1446
7277,1447
7277,1448
7285,1449
7285,1450
7285,1451
7285,1452
7289,7
7293,7
7305,1445
7305,262
7305,1457
7313,1458
7313,1459
7313,1460
7326,1461
7326,1462
7326,1463
7326,1464
7326,1465
7326,111
7333,1445
7333,1468
7333,1469
7333,1470
7333,1471
7333,1472
7337,7
7346,7
7353,1475
7353,1241
7353,1477
7353,281
7383,1479
7383,1480
7383,1481
7383,1482
7404,545
7404,1484
7404,1485
7404,1486
7409,131
7409,1488
7417,7
7420,7
7421,7
7422,1492
7422,1493
7422,19
7422,1495
7422,1181
7422,919
7422,1498
7424,1499
7424,1500
7424,1501
7424,1502
7427,1493
7427,19
7427,1495
7427,1181
7427,919
7427,1498
7427,1509
7427,1510
7428,1511
7428,1512
7428,1493
7428,19
7428,1495
7428,1181
7428,919
7428,1498
7429,1493
7429,19
7429,1495
7429,1181
7429,1523
7429,919
7429,1498
7430,1526
7430,1527
7430,1528
7430,1493
7430,19
7430,1495
7430,1181
7430,919
7430,1534
7430,1498
7430,1536
7430,1537
7431,1493
7431,1539
7431,1540
7431,1541
7431,19
7431,1495
7431,1181
7431,919
7431,1498
7432,1493
7432,19
7432,1495
7432,1181
7432,1551
7432,919
7432,1498
7433,1493
7433,1495
7433,1181
7433,919
7433,1558
7433,1559
7433,1498
7437,19
7438,19
7438,7
7440,7
7442,7
7449,7
7450,19
7453,19
7462,7
7465,19
7466,19
7466,7
7467,19
7468,19
7471,19
7482,7
7486,736
7486,1318
7486,1579
7486,1181
7486,301
7486,1582
7486,1583
7486,1584
7486,381
7486,1323
7486,1587
7509,19
7512,19
7513,19
7514,19
7517,19
7521,7
7523,7
7526,19
7526,7
7527,19
7532,7
7545,224
7545,1600
7545,1601
7545,1602
7545,1603
7545,717
7545,1605
7545,7
7549,7
7550,19
7556,19
7564,19
7576,5
7577,7
7586,19
7587,7
7602,19
7621,1616
7621,1617
7621,1618
7627,7
7633,1620
7633,1621
7645,7
7647,1623
7647,1624
7647,1625
7648,7
7649,19
7651,7
7652,19
7653,19
7654,19
7655,19
7656,19
7657,7
7658,19
7668,19
7673,7
7680,1638
7680,1479
7680,1640
7680,733
7680,1642
7690,7
7692,7
7706,1645
7706,1646
7707,19
7709,19
7710,1649
7710,1650
7710,1651
7711,1652
7724,1317
7724,1654
7741,7
7742,7
7766,1657
7766,1658
7766,1659
7766,1660
7766,1661
7766,1662
7766,1663
7766,1664
7766,1665
7769,7
7777,19
7785,7
7787,569
7798,7
7804,7
7806,340
7806,1673
7806,7
7822,5
7829,7
7830,7
7833,5
7835,7
7836,1680
7836,1681
7836,1682
7836,1683
7836,1684
7837,7
7845,7
7846,1687
7846,1688
7846,131
7846,1690
7846,166
7846,1692
7846,1
7846,1694
7846,1695
7846,1696
7846,347
7846,1698
7846,162
7846,381
7846,111
7846,1702
7846,1703
7846,1704
7846,1684
7855,7
7872,7
7873,7
7876,7
7887,7
7888,7
7898,7
7901,7
7907,7
7908,7
7916,1716
7916,114
7916,1718
7916,1719
7916,330
7916,663
7916,381
7916,307
7918,1724
7918,1725
7918,1726
7919,1727
7919,1728
7919,1729
7958,7
7962,1731
7962,1732
7969,7
7979,1734
7979,23
7979,7
7979,1292
7979,1293
7989,19
7989,7
7990,19
7990,7
7991,19
7991,7
7992,19
7992,7
8010,7
8014,5
8019,19
8020,7
8032,1751
8032,1752
8032,1753
8034,19
8035,19
8036,19
8040,7
8043,7
8046,7
8057,7
8058,1761
8058,1762
8058,1763
8058,7
8058,1765
8069,1734
8069,162
8069,1292
8069,1293
8070,1734
8070,262
8070,1292
8070,1293
8071,1734
8071,256
8071,1292
8071,1293
8077,19
8077,7
8078,19
8079,19
8080,19
8081,19
8082,7
8084,7
8088,7
8100,1787
8100,1788
8103,1789
8103,1790
8104,7
8105,1792
8105,1793
8105,1794
8105,1795
8106,1796
8106,1797
8106,1103
8106,214
8106,216
8108,19
8108,7
8111,7
8112,19
8113,19
8115,19
8115,7
8117,7
8134,19
8135,19
8136,19
8137,19
8139,19
8141,19
8142,19
8143,19
8146,23
8146,1284
8146,1819
8146,7
8146,1293
8146,1822
8146,1823
8148,19
8149,19
8150,19
8153,7
8154,7
8157,19
8157,7
8158,19
8160,19
8161,19
8161,7
8162,19
8163,19
8165,19
8166,19
8167,19
8171,19
8184,1841
8184,1842
8184,1843
8184,1844
8185,1845
8185,1390
8185,1847
8188,19
8193,19
8193,7
8196,19
8197,19
8199,19
8201,19
8202,19
8211,19
8219,19
8234,7
8237,7
8240,7
8251,19
8257,19
8258,19
8267,7
8272,7
8280,19
8282,19
8288,19
8290,19
8291,19
8292,7
8294,19
8307,19
8308,19
8309,19
8310,19
8315,19
8315,7
8316,19
8317,19
8321,7
8322,7
8323,19
8324,7
8325,19
8331,1886
8331,1887
8331,576
8332,1886
8332,1887
8332,576
8333,1886
8333,1887
8333,214
8333,215
8333,576
8334,1886
8334,1887
8334,214
8334,576
8335,1901
8335,1902
8335,1886
8335,1904
8335,576
8336,7
8337,7
8338,7
8352,1909
8352,576
8358,129
8358,131
8358,132
8358,256
8359,576
8359,1916
8359,1486
8361,1918
8361,1193
8361,1920
8361,1921
8361,1922
8361,1923
8361,1924
8362,129
8362,131
8362,1
8362,2
8362,132
8363,129
8363,131
8363,259
8363,262
8364,129
8364,131
8364,132
8364,237
8366,7
8367,7
8372,19
8374,19
8374,7
8375,19
8379,19
8391,7
8400,19
8401,19
8402,19
8403,19
8404,19
8405,19
8408,19
8409,1241
8409,162
8409,1955
8413,7
8427,7
8428,1958
8428,23
8428,1960
8428,1103
8429,1958
8429,1103
8429,262
8429,1284
8430,1966
8430,1103
8430,1284
8430,162
8431,1958
8431,1103
8431,1284
8431,298
8432,1958
8432,1103
8432,1284
8432,162
8433,1958
8433,1
8433,1980
8433,2
8433,1103
8433,1284
8434,1958
8434,505
8434,507
8434,1103
8434,1284
8434,1989
8435,1958
8435,23
8435,643
8435,1960
8435,1103
8436,1958
8436,1960
8436,1103
8436,1704
8436,1999
8437,1958
8437,668
8437,1960
8437,1103
8438,19
8439,19
8445,1958
8445,1103
8445,2008
8446,1958
8446,805
8446,1103
8446,237
8447,1958
8447,1960
8447,1103
8447,233
8450,19
8450,7
8451,7
8456,2020
8456,2021
8456,2022
8456,2023
8456,2024
8456,2025
8456,2026
8456,2027
8456,4
8456,2029
8458,5
8466,5
8479,2032
8482,7
8483,19
8483,7
8484,19
8485,7
8518,2038
8518,381
8518,576
8532,1652
8554,7
8555,19
8571,2044
8571,2045
8571,2046
8571,2047
8571,312
8571,2049
8571,2050
8571,2051
8571,2052
8571,2053
8571,2054
8571,2055
8571,2056
8571,2057
8573,2058
8621,2059
8621,1260
8621,325
8621,2062
8627,2063
8639,2063
8657,2065
8657,2066
8657,1284
8657,1241
8657,111
8657,281
8666,7
8683,7
8689,7
8695,7
8699,2075
8700,7
8707,7
8717,2078
8742,7
8743,7
8773,7
8780,7
8805,1026
8805,2084
8805,2085
8806,7
8809,7
8823,1265
8823,2089
8834,7
8836,7
8840,5
8889,626
8889,2094
8889,733
8889,2096
8889,381
8889,2098
8911,7
8920,2100
8920,2101
8920,2102
8920,2103
8920,576
8920,2105
8921,5
8922,5
8926,2108
8926,2109
8926,86
8928,2111
8928,2112
8928,2113
8933,2114
8942,7
8944,2116
8944,2117
8944,788
8944,906
8946,7
8975,5
8980,7
8981,7
8982,7
8983,7
8990,2126
8990,2127
8990,2128
8990,1103
8990,1284
8990,2131
8990,2132
8992,7
8992,2134
9022,1458
9022,2136
9022,2137
